"i"	"protID"	"spname"	"group"	"assembly"	"symM3"	"symM2"	"symM1"	"sym0"	"sym1"	"sym2"	"sym3"	"strandM3"	"strandM2"	"strandM1"	"strand0"	"strand1"	"strand2"	"strand3"	"accM3"	"accM2"	"accM1"	"acc0"	"acc1"	"acc2"	"acc3"	"nameM3"	"nameM2"	"nameM1"	"name0"	"name1"	"name2"	"name3"	"prot_feature_tables_all_fn"
"519"	"519"	"AEI89251.1"	"Midichloria_mitochondrii_IricVA"	"Alpha-proteo"	"GCA_000219355.1"	""	"infA"	"maf"	"motA"	"motB"	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"AEI89254.1"	"AEI89253.1"	"AEI89252.1"	"AEI89251.1"	"AEI89250.1"	"AEI89249.1"	"AEI89248.1"	"hypothetical protein"	"translation initiation factor IF-1"	"septum formation protein"	"flagellar motor protein MotA"	"flagellar motor protein MotB"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"520"	"520"	"QOY86330.1"	"Paludibaculum_fermentans_P105"	"Acidobacteriota"	"GCA_015277775.1"	""	""	""	"motA"	""	""	""	"-"	"-"	"-"	"+"	"+"	"-"	"+"	"QOY86327.1"	"QOY86328.1"	"QOY86329.1"	"QOY86330.1"	"QOY86331.1"	"QOY86332.1"	"QOY86333.1"	"Do family serine endopeptidase"	"DMT family transporter"	"M20/M25/M40 family metallo-hydrolase"	"flagellar motor stator protein MotA"	"OmpA family protein"	"HAD-IB family phosphatase"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"521"	"521"	"QOY88835.1"	"Paludibaculum_fermentans_P105"	"Acidobacteriota"	"GCA_015277775.1"	""	""	""	"motA"	""	""	""	"-"	"-"	"-"	"-"	"-"	"+"	"-"	"QOY88838.1"	"QOY88837.1"	"QOY88836.1"	"QOY88835.1"	"QOY88834.1"	"QOY88833.1"	"QOY88832.1"	"flagellar biosynthetic protein FliR"	"EscU/YscU/HrcU family type III secretion system export apparatus switch protein"	"response regulator"	"flagellar motor stator protein MotA"	"OmpA family protein"	"hypothetical protein"	"alkaline phosphatase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"522"	"522"	"ACO33337.1"	"Acidobacterium_capsulatum_ATCC_51196"	"Acidobacteriota"	"GCA_000022565.1"	"narP"	""	""	""	"motB2"	""	""	"-"	"+"	"+"	"+"	"+"	"+"	"-"	"ACO34528.1"	"ACO31436.1"	"ACO32191.1"	"ACO33337.1"	"ACO34085.1"	"ACO31340.1"	"ACO33371.1"	"two-component response regulator"	"pyridine nucleotide-disulphide oxidoreductase"	"two-component sensor histidine kinase all1088"	"putative chemotaxis MotA protein"	"chemotaxis protein MotB"	"pyridine nucleotide-disulphide oxidoreductase"	"GAF/FHA/SpoE domain protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"523"	"523"	"QOY85080.1"	"Paludibaculum_fermentans_P105"	"Acidobacteriota"	"GCA_015277775.1"	""	""	""	"motA"	""	""	""	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"QOY85077.1"	"QOY85078.1"	"QOY85079.1"	"QOY85080.1"	"QOY85081.1"	"QOY85082.1"	"QOY85083.1"	"chemotaxis protein CheW"	"hypothetical protein"	"response regulator"	"flagellar motor stator protein MotA"	"OmpA family protein"	"GDSL family lipase"	"exopolysaccharide biosynthesis protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"524"	"524"	"BCB96094.1"	"Dissulfurispra_thermophila_T55J"	"Nitrospirae"	"GCA_014701235.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"+"	"+"	"-"	"-"	"BCB96091.1"	"BCB96092.1"	"BCB96093.1"	"BCB96094.1"	"BCB96095.1"	"BCB96096.1"	"BCB96097.1"	"chemotaxis protein MotA"	"chemotaxis protein MotB"	"pilus assembly protein PilZ"	"flagellar motor stator protein MotA"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"525"	"525"	"ABC77078.1"	"Syntrophus_aciditrophicus_SB"	"Delta-proteo"	"GCA_000013405.1"	""	""	""	NA	""	""	""	"-"	"+"	"-"	"-"	"-"	"+"	"+"	"ABC77081.1"	"ABC77080.1"	"ABC77079.1"	"ABC77078.1"	"ABC77077.1"	"ABC77076.1"	"ABC77075.1"	"ABC-type Mn2+/Zn2+ transport systems, permease component"	"hypothetical cytosolic protein"	"hypothetical cytosolic protein"	"chemotaxis protein"	"chemotaxis protein"	"putative inhibitor of MCP methylation"	"chemotaxis protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"526"	"526"	"ACI21445.1"	"Thermodesulfovibrio_yellowstonii_DSM_11347"	"Nitrospirae"	"GCA_000020985.1"	""	""	""	""	""	""	"bioW"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"ACI21187.1"	"ACI20276.1"	"ACI20485.1"	"ACI21445.1"	"ACI21439.1"	"ACI20296.1"	"ACI21089.1"	"chemotaxis MotA protein"	"chemotaxis protein MotB"	"type IV pilus assembly protein PilZ"	"lateral flagellar motor protein MotA"	"chemotaxis protein MotB"	"conserved hypothetical protein"	"6-carboxyhexanoate--CoA ligase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"527"	"527"	"QJR36484.1"	"Gemmatimonas_groenlandica_TET16"	"Gemmatimonadetes"	"GCA_013004105.1"	"flgK"	""	""	"motA"	""	""	""	"+"	"+"	"-"	"+"	"+"	"-"	"+"	"QJR36481.1"	"QJR36482.1"	"QJR36483.1"	"QJR36484.1"	"QJR36485.1"	"QJR36486.1"	"QJR36487.1"	"flagellar hook-associated protein FlgK"	"carbon storage regulator"	"HAMP domain-containing histidine kinase"	"flagellar motor stator protein MotA"	"OmpA family protein"	"EAL domain-containing protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"528"	"528"	"AMW06484.1"	"Gemmatimonas_phototrophica_AP64"	"Gemmatimonadetes"	"GCA_000695095.2"	""	""	""	""	""	""	""	"-"	"-"	"+"	"-"	"-"	"+"	"-"	"AMW03970.1"	""	"AMW03969.1"	"AMW06484.1"	""	"AMW03968.1"	"AMW03967.1"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"flagellar motor protein MotA"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"529"	"529"	"BAH37338.1"	"Gemmatimonas_aurantiaca_T-27"	"Gemmatimonadetes"	"GCA_000010305.1"	"flgK"	""	""	"motA"	"motB"	""	""	"-"	"-"	"+"	"-"	"-"	"+"	"-"	"BAH37341.1"	"BAH37340.1"	"BAH37339.1"	"BAH37338.1"	"BAH37337.1"	"BAH37336.1"	"BAH37335.1"	"flagellar hook-associated protein 1"	"carbon storage regulator"	"hypothetical protein"	"chemotaxis MotA protein"	"chemotaxis MotB protein"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"530"	"530"	"ARU42506.1"	"Uphvl-Ar1_Uphvl-Ar1_NA"	"Armatimonadetes"	"GCA_002162075.1"	""	""	""	""	""	""	""	"+"	"-"	"-"	"+"	"+"	"+"	"-"	"ARU39643.1"	"ARU39644.1"	"ARU39645.1"	"ARU42506.1"	"ARU39646.1"	"ARU39647.1"	"ARU39648.1"	"hypothetical protein"	"crossover junction endodeoxyribonuclease RuvC"	"hypothetical protein"	"flagellar motor stator protein MotA"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"531"	"531"	"CCW34551.1"	"Chthonomonas_calidirosea_T49"	"Armatimonadetes"	"GCA_000427095.1"	""	""	""	""	""	""	""	"-"	"+"	"+"	"-"	"-"	"-"	"-"	"CCW34554.1"	"CCW34553.1"	"CCW34552.1"	"CCW34551.1"	"CCW34550.1"	"CCW34549.1"	"CCW34548.1"	"Predicted transcriptional regulators"	"Tfp pilus assembly protein PilF"	"nucleotide sugar dehydrogenase"	"flagellar motor stator protein MotA"	"Flagellar motor protein"	"Pyruvate/2-oxoglutarate dehydrogenase complex,dihydrolipoamide dehydrogenase (E3) component, and related enzymes"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"532"	"532"	"DGBBEKCF_02484"	"Verrucomicrobium_sp_I3b_bin-317"	"Verrucomicrobia"	"PRJEB38681_Verrucomicrobium_sp_CAISZB01"	"flhA"	""	"fliA"	"motA"	"lafU"	""	"flgG_3"	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"DGBBEKCF_02481"	"DGBBEKCF_02482"	"DGBBEKCF_02483"	"DGBBEKCF_02484"	"DGBBEKCF_02485"	"DGBBEKCF_02486"	"DGBBEKCF_02487"	"Flagellar biosynthesis protein FlhA"	"hypothetical protein"	"RNA polymerase sigma factor FliA"	"Motility protein A"	"Chemotaxis protein LafU"	"hypothetical protein"	"Flagellar basal-body rod protein FlgG"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"533"	"533"	"PKPEBJJI_00564"	"Verrucomicrobium_sp_I-3_bin-033"	"Verrucomicrobia"	"PRJEB3868_Verrucomicrobium_sp_CAIZXV01"	""	""	""	"motA"	"lafU"	""	"flgG"	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"PKPEBJJI_00561"	"PKPEBJJI_00562"	"PKPEBJJI_00563"	"PKPEBJJI_00564"	"PKPEBJJI_00565"	"PKPEBJJI_00566"	"PKPEBJJI_00567"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"Motility protein A"	"Chemotaxis protein LafU"	"hypothetical protein"	"Flagellar basal-body rod protein FlgG"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"534"	"534"	"QDU25289.1"	"Anatilimnocola_aggregata_ETA_A8"	"Planctomycetes"	"GCA_007747655.1"	"bioF"	""	""	"lafT"	"motB"	""	""	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"QDU25292.1"	"QDU25291.1"	"QDU25290.1"	"QDU25289.1"	"QDU25288.1"	"QDU25287.1"	"QDU25286.1"	"8-amino-7-oxononanoate synthase"	"Bacterial type II and III secretion system protein"	"Stage II sporulation protein E (SpoIIE)"	"Chemotaxis protein LafT"	"Motility protein B"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"535"	"535"	"QQS05761.1"	"Fibrobacter_spFred_18-Q3-R57-64_MAXAC109_cln"	"Fibrobacteres"	"GCA_016699655.1"	""	""	""	"motA"	""	""	""	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"QQS05764.1"	"QQS05763.1"	"QQS05762.1"	"QQS05761.1"	"QQS05760.1"	"QQS05759.1"	"QQS05758.1"	"prepilin-type N-terminal cleavage/methylation domain-containing protein"	"prepilin-type N-terminal cleavage/methylation domain-containing protein"	"hypothetical protein"	"flagellar motor stator protein MotA"	"OmpA family protein"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"536"	"536"	"ACB73691.1"	"Opitutus_terrae_PB90-1"	"Verrucomicrobia"	"GCA_000019965.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"ACB73694.1"	"ACB73693.1"	"ACB73692.1"	"ACB73691.1"	"ACB73690.1"	"ACB73689.1"	"ACB73688.1"	"Flagellar GTP-binding protein-like protein"	"hypothetical protein"	"RNA polymerase, sigma 28 subunit, FliA/WhiG"	"MotA/TolQ/ExbB proton channel"	"OmpA/MotB domain protein"	"hypothetical protein"	"protein of unknown function DUF1078"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"537"	"537"	"ATC63650.1"	"Nibricoccus_aquaticus_HZ-65"	"Verrucomicrobia"	"GCA_002310495.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"ATC63653.1"	"ATC63652.1"	"ATC63651.1"	"ATC63650.1"	"ATC63649.1"	"ATC63648.1"	"ATC63647.1"	"short-chain dehydrogenase/reductase"	"NADPH:quinone oxidoreductase"	"RNA polymerase subunit sigma-28"	"flagellar motor protein MotA"	"flagellar motor protein MotB"	"hypothetical protein"	"hybrid sensor histidine kinase/response regulator"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"538"	"538"	"QTD49844.1"	"Sulfidibacter_corallicola_M133"	"Acidobacteriota"	"GCA_017498545.1"	""	""	""	""	""	""	""	"+"	"-"	"+"	"-"	"+"	"-"	"+"	"QTD49847.1"	"QTD49846.1"	"QTD49845.1"	"QTD49844.1"	"QTD49843.1"	"QTD49842.1"	"QTD49841.1"	"response regulator"	"transporter substrate-binding domain-containing protein"	"VWA domain-containing protein"	"hypothetical protein"	"hypothetical protein"	"DUF2442 domain-containing protein"	"non-ribosomal peptide synthase/polyketide synthase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"539"	"539"	"ADB18690.1"	"Pirellula_staleyi_DSM_6068"	"Planctomycetes"	"GCA_000025185.1"	""	""	""	""	""	""	""	"-"	"+"	"-"	"-"	"-"	"-"	"+"	"ADB18693.1"	"ADB18692.1"	"ADB18691.1"	"ADB18690.1"	"ADB18689.1"	"ADB18688.1"	"ADB18687.1"	"Non-specific serine/threonine protein kinase"	"methyltransferase small"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"adenosylmethionine-8-amino-7-oxononanoate aminotransferase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"540"	"540"	"QDU27457.1"	"Anatilimnocola_aggregata_ETA_A8"	"Planctomycetes"	"GCA_007747655.1"	"rsmC"	""	""	""	""	""	""	"-"	"+"	"+"	"+"	"+"	"+"	"-"	"QDU27454.1"	"QDU27455.1"	"QDU27456.1"	"QDU27457.1"	"QDU27458.1"	"QDU27459.1"	"QDU27460.1"	"Ribosomal RNA small subunit methyltransferase C"	"hypothetical protein"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel family protein"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"541"	"541"	"QDU95463.1"	"Lignipirellula_cremea_Pla85_3_4"	"Planctomycetes"	"GCA_007751035.1"	"aroE_2"	""	"gnl_7"	""	""	""	""	"+"	"-"	"+"	"+"	"+"	"+"	"-"	"QDU95460.1"	"QDU95461.1"	"QDU95462.1"	"QDU95463.1"	"QDU95464.1"	"QDU95465.1"	"QDU95466.1"	"Shikimate dehydrogenase"	"hypothetical protein"	"Gluconolactonase precursor"	"MotA/TolQ/ExbB proton channel family protein"	"hypothetical protein"	"hypothetical protein"	"TadE-like protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"542"	"542"	"CAD71788.1"	"Rhodopirellula_baltica_SH_1"	"Planctomycetes"	"GCA_000196115.1"	""	""	""	"tolQ"	""	""	"ldh"	"+"	"-"	"+"	"-"	"-"	"-"	"+"	"CAD71791.1"	"CAD71790.1"	"CAD71789.1"	"CAD71788.1"	"CAD71787.1"	"CAD71786.1"	"CAD71785.1"	"hypothetical protein-transmembrane prediction"	"hypothetical protein"	"hypothetical protein"	"probable biopolymer transport protein"	"hypothetical protein-signal peptide and transmembrane prediction"	"hypothetical protein-transmembrane prediction"	"L-lactate/malate dehydrogenase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"543"	"543"	"ADY61197.1"	"Rubinispaera_brasiliensis_DSM_5305"	"Planctomycetes"	"GCA_000165715.3"	""	""	""	NA	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"ADY61200.1"	"ADY61199.1"	"ADY61198.1"	"ADY61197.1"	"ADY61196.1"	"ADY61195.1"	"ADY61194.1"	"NADPH:quinone reductase"	"12-oxophytodienoate reductase"	"oligopeptide transporter, OPT superfamily"	"MotA/TolQ/ExbB proton channel"	"hypothetical protein"	"hypothetical protein"	"transcriptional regulator, AraC family"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"544"	"544"	"QTD52802.1"	"Sulfidibacter_corallicola_M133"	"Acidobacteriota"	"GCA_017498545.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"QTD52799.1"	"QTD52800.1"	"QTD52801.1"	"QTD52802.1"	"QTD52803.1"	"QTD52804.1"	"QTD52805.1"	"hypothetical protein"	"SUMF1/EgtB/PvdO family nonheme iron enzyme"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel family protein"	"hypothetical protein"	"VWA domain-containing protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"545"	"545"	"QOY89286.1"	"Paludibaculum_fermentans_P105"	"Acidobacteriota"	"GCA_015277775.1"	""	""	""	""	""	""	""	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"QOY89289.1"	"QOY89288.1"	"QOY89287.1"	"QOY89286.1"	"QOY89285.1"	"QOY89284.1"	"QOY89283.1"	"protein kinase"	"hypothetical protein"	"FHA domain-containing protein"	"MotA/TolQ/ExbB proton channel family protein"	"hypothetical protein"	"FHA domain-containing protein"	"serine/threonine-protein phosphatase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"546"	"546"	"QVL33268.1"	"Telmatocola_spagniphila_spT"	"Planctomycetes"	"GCA_018398935.1"	""	""	""	""	""	""	""	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"QVL33271.1"	"QVL33270.1"	"QVL33269.1"	"QVL33268.1"	"QVL33267.1"	"QVL33266.1"	"QVL33265.1"	"molybdopterin oxidoreductase family protein"	"SGNH/GDSL hydrolase family protein"	"VCBS repeat-containing protein"	"MotA/TolQ/ExbB proton channel family protein"	"hypothetical protein"	"VWA domain-containing protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"547"	"547"	"QDU28596.1"	"Anatilimnocola_aggregata_ETA_A8"	"Planctomycetes"	"GCA_007747655.1"	"pstS"	"ybgC"	"ftsK"	""	""	""	""	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"QDU28599.1"	"QDU28598.1"	"QDU28597.1"	"QDU28596.1"	"QDU28595.1"	"QDU28594.1"	"QDU28593.1"	"Phosphate-binding protein PstS precursor"	"Acyl-CoA thioester hydrolase YbgC"	"DNA translocase FtsK"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"548"	"548"	"ADB15801.1"	"Pirellula_staleyi_DSM_6068"	"Planctomycetes"	"GCA_000025185.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"-"	"ADB15798.1"	"ADB15799.1"	"ADB15800.1"	"ADB15801.1"	"ADB15802.1"	"ADB15803.1"	"ADB15804.1"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"alpha-glucan phosphorylase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"549"	"549"	"QTD50492.1"	"Sulfidibacter_corallicola_M133"	"Acidobacteriota"	"GCA_017498545.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"QTD50489.1"	"QTD50490.1"	"QTD50491.1"	"QTD50492.1"	"QTD50493.1"	"QTD50494.1"	"QTD50495.1"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel family protein"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"550"	"550"	"CAD77532.1"	"Rhodopirellula_baltica_SH_1"	"Planctomycetes"	"GCA_000196115.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"CAD77535.1"	"CAD77534.1"	"CAD77533.1"	"CAD77532.1"	"CAD77531.1"	"CAD77530.1"	"CAD77529.1"	"similar to hydrolase"	"predicted glycosyltransferase"	"sucrose phosphorylase"	"hypothetical protein-transmembrane prediction"	"hypothetical protein-transmembrane prediction"	"hypothetical protein"	"prolyl endopeptidase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"551"	"551"	"ADY59818.1"	"Rubinispaera_brasiliensis_DSM_5305"	"Planctomycetes"	"GCA_000165715.3"	""	""	""	NA	""	""	""	"-"	"+"	"+"	"+"	"+"	"+"	"+"	"ADY59815.1"	"ADY59816.1"	"ADY59817.1"	"ADY59818.1"	"ADY59819.1"	"ADY59820.1"	"ADY59821.1"	"hypothetical protein"	"hypothetical protein"	"methionine biosynthesis protein MetW"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"squalene-associated FAD-dependent desaturase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"552"	"552"	"QIZ73618.1"	"Oxynema_aestuarii_AP17"	"Cyanobacteria"	"GCA_012295525.1"	""	""	""	""	""	""	"pyk"	"+"	"-"	"-"	"+"	"+"	"+"	"+"	"QIZ73617.1"	"QIZ70112.1"	"QIZ70113.1"	"QIZ73618.1"	"QIZ70114.1"	"QIZ70115.1"	"QIZ70116.1"	"hypothetical protein"	"protein kinase"	"DUF3352 domain-containing protein"	"flagellar motor protein MotA"	"hypothetical protein"	"hypothetical protein"	"pyruvate kinase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"553"	"553"	"ADY61698.1"	"Rubinispaera_brasiliensis_DSM_5305"	"Planctomycetes"	"GCA_000165715.3"	""	""	""	NA	""	""	""	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"ADY61695.1"	"ADY61696.1"	"ADY61697.1"	"ADY61698.1"	"ADY61699.1"	"ADY61700.1"	""	"hypothetical protein"	"hypothetical protein"	"type I secretion system ATPase, PrtD"	"MotA/TolQ/ExbB proton channel"	"Protein of unknown function DUF2149"	"Magnesium chelatase"	""	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"554"	"554"	"BCB95963.1"	"Dissulfurispra_thermophila_T55J"	"Nitrospirae"	"GCA_014701235.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"+"	"-"	"+"	"-"	"BCB95960.1"	"BCB95961.1"	"BCB95962.1"	"BCB95963.1"	"BCB95964.1"	"BCB95965.1"	"BCB95966.1"	"TonB-dependent receptor"	"hypothetical protein"	"hypothetical protein"	"flagellar motor protein MotA"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"555"	"555"	"QVL34843.1"	"Telmatocola_spagniphila_spT"	"Planctomycetes"	"GCA_018398935.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"QVL33204.1"	"QVL33203.1"	"QVL33202.1"	"QVL34843.1"	"QVL33201.1"	"QVL33200.1"	"QVL33199.1"	"DUF1559 domain-containing protein"	"hypothetical protein"	"cobaltochelatase subunit CobN"	"MotA/TolQ/ExbB proton channel family protein"	"DUF2149 domain-containing protein"	"DUF1328 domain-containing protein"	"AAA family ATPase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"556"	"556"	"AVM44306.1"	"Victivallales_Victivallales_CCUG_44730"	"Lentisphaerae"	"GCA_002998355.1"	""	""	""	""	""	""	"hydG"	"+"	"+"	"+"	"+"	"+"	"+"	"-"	"AVM44303.1"	"AVM44304.1"	"AVM44305.1"	"AVM44306.1"	"AVM44307.1"	"AVM44308.1"	"AVM44309.1"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"[FeFe] hydrogenase H-cluster radical SAM maturase HydG"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"557"	"557"	"ALU35076.1"	"Clostridium_autoethanogenum_DSM_10061"	"Firmicutes"	"GCA_001484725.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"ALU35079.1"	"ALU35078.1"	"ALU35077.1"	"ALU35076.1"	"ALU35075.1"	"ALU35074.1"	"ALU35073.1"	"NADP-binding oxido reductase"	"putative secreted protein containing bacterial Ig-like domain"	"ABC-type molybdenum transport system periplasmic molybdate-binding protein"	"MotA/TolQ/ExbB proton channel"	"putative membrane protein DUF2149"	"putative membrane protein DUF2149"	"Glycyl-radical enzyme pyruvate formate-lyase 2"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"558"	"558"	"MBU2987451.1"	"Saccharophagus_degradans_E3M17"	"Gamma-proteo"	"GCA_018860445.1"	"rlmJ"	""	""	""	""	"cobN"	""	"+"	"-"	"-"	"-"	"-"	"-"	"+"	"MBU2987454.1"	"MBU2987453.1"	"MBU2987452.1"	"MBU2987451.1"	"MBU2987450.1"	"MBU2987449.1"	"MBU2987448.1"	"23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ"	"TonB-dependent receptor"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel family protein"	"DUF2149 domain-containing protein"	"cobaltochelatase subunit CobN"	"monovalent cation:proton antiporter-2 (CPA2) family protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"559"	"559"	"AAG05312.1"	"Pseudomonas_aeruginosa_PAO1"	"Gamma-proteo"	"GCA_000006765.1"	""	""	""	""	""	""	"metE"	"-"	"+"	"+"	"+"	"+"	"+"	"+"	"AAG05309.1"	"AAG05310.1"	"AAG05311.1"	"AAG05312.1"	"AAG05313.1"	"AAG05314.1"	"AAG05315.1"	"hypothetical protein"	"probable TonB-dependent receptor"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"conserved hypothetical protein"	"5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"560"	"560"	"APW42573.1"	"Rhodoferax_saidenbachensis_DSM_22694"	"Beta-proteo"	"GCA_001955715.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"APW42570.1"	"APW42571.1"	"APW42572.1"	"APW42573.1"	"APW42574.1"	"APW44767.1"	"APW42575.1"	"hypothetical protein"	"cobaltochelatase subunit CobN"	"hypothetical protein"	"biopolymer transporter ExbD"	"hypothetical protein"	"hypothetical protein"	"hemin-degrading factor"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"561"	"561"	"CDK97459.1"	"Magnetosprillum_gryphiswaldense_MSR-1_v2"	"Alpha-proteo"	"GCA_000513295.1"	""	""	""	""	""	""	""	"-"	"-"	"+"	"+"	"+"	"+"	"+"	"CDK97456.1"	"CDK97457.1"	"CDK97458.1"	"CDK97459.1"	"CDK97460.1"	"CDK97461.1"	"CDK97462.1"	"Transposase, IS4-like"	"protein of unknown function"	"conserved protein of unknown function"	"putative MotA/TolQ/ExbB proton channel family protein"	"Putative outer membrane protein, OmpA/MotB, C-terminal"	"conserved exported protein of unknown function"	"protein of unknown function"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"562"	"562"	"AEO47577.1"	"Rhodosprillum_rubrum_F11"	"Alpha-proteo"	"GCA_000225955.1"	""	""	""	""	""	"rpmE"	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"AEO47580.1"	"AEO47579.1"	"AEO47578.1"	"AEO47577.1"	"AEO47576.1"	"AEO47575.1"	"AEO47574.1"	"elongation factor P"	"inositol monophosphatase"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel family protein"	"hypothetical protein"	"50S ribosomal protein L31"	"adenylate/guanylate cyclase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
