	i	protID	spname	symM3	symM2	symM1	sym0	sym1	sym2	sym3	strandM3	strandM2	strandM1	strand0	strand1	strand2	strand3	accM3	accM2	accM1	acc0	acc1	acc2	acc3	nameM3	nameM2	nameM1	name0	name1	name2	name3	genome_dir	gene_order_table_fn
344	458	ALF47162.1	Campylobacter concisus	atpG	atpD	atpC	tolQ	tolR	tolA	tolB	+	+	+	+	+	+	+	ALF47159.1	ALF47160.1	ALF47161.1	ALF47162.1	ALF47163.1	ALF47164.1	ALF47165.1	"ATP synthase, F1 complex, gamma subunit"	"ATP synthase, F1 complex, beta subunit"	"ATP synthase, F1 complex, epsilon subunit"	Tol-Pal system subunit TolQ	Tol-Pal system subunit TolR	Tol-Pal system subunit TolA	Tol-Pal system translocation protein TolB	GCA_001298465.1_ASM129846v1	genomes/GCA_001298465.1_ASM129846v1/GCA_001298465.1_ASM129846v1_feature_table.txt
345	459	QVL32579.1	Telmatocola sphagniphila								+	-	+	+	+	+	+	QVL32576.1	QVL32577.1	QVL32578.1	QVL32579.1	QVL32580.1	QVL32581.1	QVL32582.1	hypothetical protein	DinB family protein	RDD family protein	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	biopolymer transporter ExbD	hypothetical protein	GCA_018398935.1_ASM1839893v1	genomes/GCA_018398935.1_ASM1839893v1/GCA_018398935.1_ASM1839893v1_feature_table.txt
346	460	ATU63381.1	Rhizobacter gummiphilus	metC							+	+	+	+	+	+	+	ATU63378.1	ATU63379.1	ATU63380.1	ATU63381.1	ATU63382.1	ATU63383.1	ATU63384.1	cystathionine beta-lyase	betaine-aldehyde dehydrogenase	hypothetical protein	hypothetical protein	biopolymer transporter ExbD	energy transducer TonB	DUF1445 domain-containing protein	GCA_002762215.1_ASM276221v1	genomes/GCA_002762215.1_ASM276221v1/GCA_002762215.1_ASM276221v1_feature_table.txt
347	461	AHE96301.1	Thermocrinis ruber								+	+	-	-	-	-	-			AHE96302.1	AHE96301.1	AHE96300.1	AHE96884.1	AHE96883.1			TonB-denpendent receptor	biopolymer transporter ExbB	biopolymer transporter ExbD	hypothetical protein	hypothetical protein	GCA_000512735.1_ASM51273v1	genomes/GCA_000512735.1_ASM51273v1/GCA_000512735.1_ASM51273v1_feature_table.txt
348	462	UPT72845.1	Elusimicrobia bacterium								+	+	-	+	+	+	+	UPT72842.1	UPT72843.1	UPT72844.1	UPT72845.1	UPT72846.1	UPT72847.1	UPT72848.1	tetratricopeptide repeat protein	hypothetical protein	hypothetical protein	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	biopolymer transporter ExbD	hypothetical protein	GCA_023213235.1_ASM2321323v1	genomes/GCA_023213235.1_ASM2321323v1/GCA_023213235.1_ASM2321323v1_feature_table.txt
349	463	QJE97904.1	Luteolibacter luteus								+	+	+	+	+	+	+	QJE97902.1	QJE97903.1	QJE99325.1	QJE97904.1	QJE99326.1	QJE97905.1	QJE97906.1	hypothetical protein	hypothetical protein	ShlB/FhaC/HecB family hemolysin secretion/activation protein	DUF2341 domain-containing protein	biopolymer transporter ExbD	biopolymer transporter ExbD	TonB C-terminal domain-containing protein	GCA_012913485.1_ASM1291348v1	genomes/GCA_012913485.1_ASM1291348v1/GCA_012913485.1_ASM1291348v1_feature_table.txt
350	464	QJE95399.1	Luteolibacter luteus								+	+	+	+	+	+	+	QJE95396.1	QJE95397.1	QJE95398.1	QJE95399.1	QJE95400.1	QJE95401.1	QJE95402.1	outer membrane beta-barrel protein	hypothetical protein	DUF3450 domain-containing protein	hypothetical protein	biopolymer transporter ExbD	energy transducer TonB	tetratricopeptide repeat protein	GCA_012913485.1_ASM1291348v1	genomes/GCA_012913485.1_ASM1291348v1/GCA_012913485.1_ASM1291348v1_feature_table.txt
351	465	QNQ08565.1	Sphingomonas alpina								-	-	-	-	-	-	-	QNQ08568.1	QNQ08567.1	QNQ08566.1	QNQ08565.1	QNQ08564.1	QNQ08563.1	QNQ08562.1	sigma-70 family RNA polymerase sigma factor	FecR domain-containing protein	ShlB/FhaC/HecB family hemolysin secretion/activation protein	DUF2341 domain-containing protein	biopolymer transporter ExbD	hypothetical protein	putative porin	GCA_014490665.1_ASM1449066v1	genomes/GCA_014490665.1_ASM1449066v1/GCA_014490665.1_ASM1449066v1_feature_table.txt
352	466	AAG04082.1	Pseudomonas aeruginosa PAO1				exbB2	exbD2			+	+	+	+	+	+	+	AAG04079.1	AAG04080.1	AAG04081.1	AAG04082.1	AAG04083.1	AAG04084.1	AAG04085.1	hypothetical protein	hypothetical protein	hypothetical protein	transport protein ExbB2	transport protein ExbD	hypothetical protein	hypothetical protein	GCA_000006765.1_ASM676v1	genomes/GCA_000006765.1_ASM676v1/GCA_000006765.1_ASM676v1_feature_table.txt
353	471	AFE07994.1	Corallococcus coralloides DSM 2259		dprA	topA	aglR1				-	-	-	-	-	-	+	AFE06169.1	AFE08631.1	AFE10522.1	AFE07994.1	AFE06168.1	AFE06167.1	AFE06166.1	LysM domain-containing protein	DNA processing chain A	putative DNA protecting protein DprA/DNA topoisomerase I	MotA/TolQ/ExbB proton channel family protein	hypothetical protein	hypothetical protein	DksA-like protein	GCA_000255295.1_ASM25529v1	genomes/GCA_000255295.1_ASM25529v1/GCA_000255295.1_ASM25529v1_feature_table.txt
354	472	ADO72879.1	Stigmatella aurantiaca DW4/3-1								-	-	-	-	-	-	+	ADO72882.1	ADO72881.1	ADO72880.1	ADO72879.1	ADO72878.1	ADO72877.1	ADO72876.1	LysM domain protein	SMF family protein	topoisomerase	MotA/TolQ/ExbB proton channel family protein	conserved uncharacterized protein	conserved uncharacterized protein	conserved uncharacterized protein	GCA_000165485.1_ASM16548v1	genomes/GCA_000165485.1_ASM16548v1/GCA_000165485.1_ASM16548v1_feature_table.txt
355	481	AFE07995.1	Corallococcus coralloides DSM 2259	fixL3	atoS10	gspE3	aglR2		aglS	gph	-	-	+	-	-	-	-	AFE08787.1	AFE08138.1	AFE08993.1	AFE07995.1	AFE07538.1	AFE07996.1	AFE08962.1	sensory box histidine kinase	sensory box histidine kinase	general secretion pathway protein E	MotA/TolQ/ExbB proton channel family protein	biopolymer ExbD/TolR family transporter	adventurous gliding motility protein AglS	phosphoglycolate phosphatase	GCA_000255295.1_ASM25529v1	genomes/GCA_000255295.1_ASM25529v1/GCA_000255295.1_ASM25529v1_feature_table.txt
356	482	ADO68798.1	Stigmatella aurantiaca DW4/3-1			gspE			aglS	gph	+	-	-	+	+	+	+	ADO68795.1	ADO68796.1	ADO68797.1	ADO68798.1	ADO68799.1	ADO68800.1	ADO68801.1	Sensor protein	uncharacterized protein	General secretion protein E	MotA/TolQ/ExbB proton channel family protein	"Biopolymer transport protein, ExbD/TolR family"	Adventurous gliding motility protein AglS	Phosphoglycolate phosphatase	GCA_000165485.1_ASM16548v1	genomes/GCA_000165485.1_ASM16548v1/GCA_000165485.1_ASM16548v1_feature_table.txt
357	483	BAM06053.1	Leptospirillum ferrooxidans C2-3								-	-	-	-	-	-	-	BAM06056.1	BAM06055.1	BAM06054.1	BAM06053.1	BAM06052.1	BAM06051.1	BAM06050.1	tonB-dependent receptor	putative two component transcriptional regulator	hypothetical protein	biopolymer transport protein	putative biopolymer transport protein	putative TonB-like protein	hypothetical protein	GCA_000284315.1_ASM28431v1	genomes/GCA_000284315.1_ASM28431v1/GCA_000284315.1_ASM28431v1_feature_table.txt
358	484	BAC61768.1	Vibrio parahaemolyticus RIMD 2210633	VPA0428	VPA0427	VPA0426	VPA0425	VPA0424	VPA0423	VPA0422	+	+	-	-	-	-	-	BAC61771.1	BAC61770.1	BAC61769.1	BAC61768.1	BAC61767.1	BAC61766.1	BAC61765.1	conserved hypothetical protein	coproporphyrinogen oxidase homolog PhuW	TonB-like protein	ExbB-like protein	TonB system transport protein ExbD1	"hemin ABC transporter, periplasmic hemin-binding protein HutB"	"putative hemin ABC transporter, permease protein"	GCA_000196095.1_ASM19609v1	genomes/GCA_000196095.1_ASM19609v1/GCA_000196095.1_ASM19609v1_feature_table.txt
359	485	ACX73657.1	Fibrobacter succinogenes subsp. succinogenes S85								-	-	-	-	-	-	-	ACX73660.1	ACX73659.1	ACX73658.1	ACX73657.1	ACX73656.1	ACX73655.1	ACX73654.1	cytidyltransferase-related domain protein	pseudouridine synthase	hypothetical protein	MotA/TolQ/ExbB proton channel	MotA/TolQ/ExbB proton channel	Biopolymer transport protein ExbD/TolR	TonB family protein	GCA_000024665.1_ASM2466v1	genomes/GCA_000024665.1_ASM2466v1/GCA_000024665.1_ASM2466v1_feature_table.txt
360	486	AKJ64800.1	Kiritimatiella glycovorans		tsaA_1						-	-	-	-	-	-	-	AKJ64803.1	AKJ64802.1	AKJ64801.1	AKJ64800.1	AKJ64799.1	AKJ64798.1	AKJ64797.1	HflK protein	putative tRNA (adenine(37)-N6)-methyltransferase	hypothetical protein	Biopolymer transport protein ExbB	ExbB proton channel family protein	Biopolymer transport protein ExbD	hypothetical protein	GCA_001017655.1_ASM101765v1	genomes/GCA_001017655.1_ASM101765v1/GCA_001017655.1_ASM101765v1_feature_table.txt
361	487	ARN57239.1	Sedimentisphaera salicampi				exbB_1	exbB_2			+	+	+	+	+	+	+	ARN57236.1	ARN57237.1	ARN57238.1	ARN57239.1	ARN57240.1	ARN57241.1	ARN57242.1	hypothetical protein	TonB-dependent receptor	chromosome segregation protein SMC	Biopolymer transport protein ExbB	Biopolymer transport protein ExbB	biopolymer transport protein ExbD	hypothetical protein	GCA_002117005.1_ASM211700v1	genomes/GCA_002117005.1_ASM211700v1/GCA_002117005.1_ASM211700v1_feature_table.txt
362	488	AKJ65465.1	Kiritimatiella glycovorans				exbB_7				-	-	-	-	-	-	-	AKJ65468.1	AKJ65467.1	AKJ65466.1	AKJ65465.1	AKJ65464.1	AKJ65463.1	AKJ65462.1	hypothetical protein	TonB-dependent receptor	hypothetical protein	Biopolymer transport protein ExbB	colicin uptake protein TolQ	hypothetical protein	biopolymer transport protein ExbD	GCA_001017655.1_ASM101765v1	genomes/GCA_001017655.1_ASM101765v1/GCA_001017655.1_ASM101765v1_feature_table.txt
363	489	ATX82358.1	Mariprofundus ferrinatatus	NA	NA	NA	NA	NA	NA	NA	-	-	+	-	-	-	-	ATX82361.1	ATX82360.1	ATX82359.1	ATX82358.1	ATX82357.1	ATX82356.1	ATX82355.1	"two-component system, sensor histidine kinase RegB"	"two-component system, response regulator RegA"	hypothetical protein	outer membrane transport energization protein ExbB	outer membrane transport energization protein ExbD	outer membrane transport energization protein TonB	iron complex outermembrane recepter protein	GCA_002795825.1_ASM279582v1	genomes/GCA_002795825.1_ASM279582v1/GCA_002795825.1_ASM279582v1_feature_table.txt
364	490	ATX79248.1	Mariprofundus aestuarium	NA	NA	NA	NA	NA	NA	NA	+	+	+	+	+	+	+	ATX79245.1	ATX79246.1	ATX79247.1	ATX79248.1	ATX79249.1	ATX79250.1	ATX79251.1	"two-component system, sensor histidine kinase RegB"	"two-component system, response regulator RegA"	iron complex outermembrane recepter protein	outer membrane transport energization protein ExbB	outer membrane transport energization protein ExbD	protein TonB	hypothetical protein	GCA_002795805.1_ASM279580v1	genomes/GCA_002795805.1_ASM279580v1/GCA_002795805.1_ASM279580v1_feature_table.txt
365	491	QAR33430.1	Geovibrio thiophilus		cobA						-	-	-	-	-	-	-	QAR33433.1	QAR33432.1	QAR33431.1	QAR33430.1	QAR33429.1	QAR33428.1	QAR33427.1	iron ABC transporter substrate-binding protein	uroporphyrinogen-III C-methyltransferase	"cob(I)yrinic acid a,c-diamide adenosyltransferase"	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	energy transducer TonB	TonB-dependent receptor	GCA_004087915.1_ASM408791v1	genomes/GCA_004087915.1_ASM408791v1/GCA_004087915.1_ASM408791v1_feature_table.txt
366	495	QSR84626.1	Methylacidimicrobium sp. B4								+	+	-	+	+	+	+	QSR84624.1	QSR84625.1	QSR85884.1	QSR84626.1	QSR84627.1	QSR84628.1	QSR84629.1	hypothetical protein	glycosyltransferase family 2 protein	nucleoside monophosphate kinase	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	tetratricopeptide repeat protein	OmpA family protein	GCA_017310545.1_ASM1731054v1	genomes/GCA_017310545.1_ASM1731054v1/GCA_017310545.1_ASM1731054v1_feature_table.txt
367	496	SEI00245.1	Akkermansia glycaniphila	NA	NA	NA	NA	NA	NA	NA	+	-	-	+	+	+	+	SEI00212.1	SEI00224.1	SEI00234.1	SEI00245.1	SEI00267.1	SEI00278.1	SEI00292.1	abc transporter	Hypothetical protein	uvrb/uvrc motif	mota/tolq/exbb proton channel family	biopolymer transport protein exbd/tolr	biopolymer transport protein exbd/tolr	tetratricopeptide repeat	GCA_900097105.1_WK001	genomes/GCA_900097105.1_WK001/GCA_900097105.1_WK001_feature_table.txt
368	497	QJE95191.1	Luteolibacter luteus								+	+	-	+	+	+	+	QJE95188.1	QJE95189.1	QJE95190.1	QJE95191.1	QJE95192.1	QJE95193.1	QJE95194.1	glycosyltransferase	alpha-amylase	excinuclease ABC subunit UvrC	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	tetratricopeptide repeat protein	sodium-translocating pyrophosphatase	GCA_012913485.1_ASM1291348v1	genomes/GCA_012913485.1_ASM1291348v1/GCA_012913485.1_ASM1291348v1_feature_table.txt
369	498	QDU94893.1	Lignipirellula cremea		ptsI_2		exbB_3				-	-	+	+	+	+	+	QDU94890.1	QDU94891.1	QDU94892.1	QDU94893.1	QDU94894.1	QDU94895.1	QDU94896.1	hypothetical protein	Phosphoenolpyruvate-protein phosphotransferase	hypothetical protein	Biopolymer transport protein ExbB	Biopolymer transport protein ExbD/TolR	colicin uptake protein TolR	hypothetical protein	GCA_007751035.1_ASM775103v1	genomes/GCA_007751035.1_ASM775103v1/GCA_007751035.1_ASM775103v1_feature_table.txt
370	500	AKJ63368.1	Kiritimatiella glycovorans				exbB_2				+	-	-	-	-	-	-	AKJ63371.1	AKJ63370.1	AKJ63369.1	AKJ63368.1	AKJ63367.1	AKJ63366.1	AKJ63365.1	hypothetical protein	tol-pal system protein YbgF	hypothetical protein	Biopolymer transport protein ExbB	protein TolR	biopolymer transport protein ExbD	hypothetical protein	GCA_001017655.1_ASM101765v1	genomes/GCA_001017655.1_ASM101765v1/GCA_001017655.1_ASM101765v1_feature_table.txt
371	501	CAD74695.1	Rhodopirellula baltica SH 1	galE			tolQ			manC	-	-	-	-	-	-	-	CAD74698.1	CAD74697.1	CAD74696.1	CAD74695.1	CAD74694.1	CAD74693.1	CAD74692.1	UDP-glucose 4-epimerase	hypothetical protein-transmembrane prediction	hypothetical protein	probable TolQ-type transport protein	hypothetical protein	probable deca-heme c-type cytochrome	mannose-1-phosphate guanylyltransferase	GCA_000196115.1_ASM19611v1	genomes/GCA_000196115.1_ASM19611v1/GCA_000196115.1_ASM19611v1_feature_table.txt
372	503	ADB15652.1	Pirellula staleyi DSM 6068								-	-	-	-	-	-	-	ADB15655.1	ADB15654.1	ADB15653.1	ADB15652.1	ADB15651.1	ADB15650.1	ADB15649.1	hypothetical protein	hypothetical protein	hypothetical protein	MotA/TolQ/ExbB proton channel	Biopolymer transport protein ExbD/TolR	Biopolymer transport protein ExbD/TolR	hypothetical protein	GCA_000025185.1_ASM2518v1	genomes/GCA_000025185.1_ASM2518v1/GCA_000025185.1_ASM2518v1_feature_table.txt
373	504	QJE97562.1	Luteolibacter luteus								-	-	-	-	-	-	-	QJE97565.1	QJE97564.1	QJE97563.1	QJE97562.1	QJE97561.1	QJE97560.1	QJE97559.1	hypothetical protein	tetratricopeptide repeat protein	hypothetical protein	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	biopolymer transporter ExbD	hypothetical protein	GCA_012913485.1_ASM1291348v1	genomes/GCA_012913485.1_ASM1291348v1/GCA_012913485.1_ASM1291348v1_feature_table.txt
374	505	AKJ64099.1	Kiritimatiella glycovorans	dapF			exbB_3	exbD_2			+	+	+	+	+	+	+	AKJ64096.1	AKJ64097.1	AKJ64098.1	AKJ64099.1	AKJ64100.1	AKJ64101.1	AKJ64102.1	Diaminopimelate epimerase	TPR-domain containing protein	hypothetical protein	Biopolymer transport protein ExbB	Biopolymer transport protein ExbD	Biopolymer transport protein TolR	hypothetical protein	GCA_001017655.1_ASM101765v1	genomes/GCA_001017655.1_ASM101765v1/GCA_001017655.1_ASM101765v1_feature_table.txt
375	509	ADB17547.1	Pirellula staleyi DSM 6068								+	-	+	+	+	+	-	ADB17544.1	ADB17545.1	ADB17546.1	ADB17547.1	ADB17548.1	ADB17549.1	ADB17550.1	Antibiotic biosynthesis monooxygenase	NAD-dependent epimerase/dehydratase	Tetratricopeptide TPR_2 repeat protein	MotA/TolQ/ExbB proton channel	Biopolymer transport protein ExbD/TolR	hypothetical protein	metal dependent phosphohydrolase	GCA_000025185.1_ASM2518v1	genomes/GCA_000025185.1_ASM2518v1/GCA_000025185.1_ASM2518v1_feature_table.txt
376	510	QAR33784.1	Geovibrio thiophilus								-	-	-	-	-	-	-	QAR33787.1	QAR33786.1	QAR33785.1	QAR33784.1	QAR33783.1	QAR33782.1	QAR33781.1	hypothetical protein	DUF4857 domain-containing protein	DUF3450 domain-containing protein	hypothetical protein	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	energy transducer TonB	GCA_004087915.1_ASM408791v1	genomes/GCA_004087915.1_ASM408791v1/GCA_004087915.1_ASM408791v1_feature_table.txt
377	512	QSR84464.1	Methylacidimicrobium sp. B4	rpmH							+	+	-	-	+	+	+	QSR84466.1	QSR85871.1	QSR84465.1	QSR84464.1	QSR84463.1	QSR84462.1	QSR84461.1	50S ribosomal protein L34	polyprenyl synthetase family protein	hypothetical protein	MotA/TolQ/ExbB proton channel family protein	ABC transporter permease	ABC transporter permease	ABC transporter ATP-binding protein	GCA_017310545.1_ASM1731054v1	genomes/GCA_017310545.1_ASM1731054v1/GCA_017310545.1_ASM1731054v1_feature_table.txt
378	513	ADV60824.1	Isosphaera pallida ATCC 43644	NA	NA	NA	NA	NA	NA	NA	+	+	+	+	+	+	-	ADV60821.1	ADV60822.1	ADV60823.1	ADV60824.1	ADV60825.1	ADV60826.1	ADV60827.1	hypothetical protein	hypothetical protein	hypothetical protein	MotA/TolQ/ExbB proton channel	Biopolymer transport protein ExbD/TolR	SNARE associated Golgi protein-like protein	short-chain dehydrogenase/reductase SDR	GCA_000186345.1_ASM18634v1	genomes/GCA_000186345.1_ASM18634v1/GCA_000186345.1_ASM18634v1_feature_table.txt
379	516	UAK41330.1	Bacteroides nordii	rrf							-	+	-	-	-	-	-		UAK41331.1	UAK44931.1	UAK41330.1	UAK41329.1	UAK44930.1	UAK41328.1	5S ribosomal RNA	NAD kinase	pyridoxine 5'-phosphate synthase	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	TonB family protein	DJ-1/PfpI family protein	GCA_019930665.1_ASM1993066v1	genomes/GCA_019930665.1_ASM1993066v1/GCA_019930665.1_ASM1993066v1_feature_table.txt
380	517	AEW00830.1	Niastella koreensis GR20-10	NA	NA	NA	NA	NA	NA	NA	-	+	-	-	-	-	+	AEW00833.1	AEW00832.1	AEW00831.1	AEW00830.1	AEW00829.1	AEW00828.1	AEW00827.1	OmpA/MotB domain protein	FAD-dependent pyridine nucleotide-disulfide oxidoreductase	band 7 protein	outer membrane transport energization protein ExbB	outer membrane transport energization protein ExbD	hypothetical protein	"protein-(glutamine-N5) methyltransferase, release factor-specific"	GCA_000246855.1_ASM24685v1	genomes/GCA_000246855.1_ASM24685v1/GCA_000246855.1_ASM24685v1_feature_table.txt
381	518	ABG60812.1	Cytophaga hutchinsonii ATCC 33406	ydjG	bglX		exbB		yeeF		+	+	+	+	+	+	-	ABG60809.1	ABG60810.1	ABG60811.1	ABG60812.1	ABG60813.1	ABG60814.1	ABG60815.1	oxidoreductase	"b-glucosidase, glycoside hydrolase family 3 protein"	conserved hypothetical protein	outer membrane transport energization protein ExbB	outer membrane transport energization protein ExbD	"amino acid/polyamine/organocation transporter, APC superfamily"	conserved hypothetical protein	GCA_000014145.1_ASM1414v1	genomes/GCA_000014145.1_ASM1414v1/GCA_000014145.1_ASM1414v1_feature_table.txt
382	520	BAC89082.1	Gloeobacter violaceus PCC 7421	glr1144	glr1143	gll1142	gll1141	gll1140	gsl1139	gll1138	+	+	-	-	-	-	-	BAC89085.1	BAC89084.1	BAC89083.1	BAC89082.1	BAC89081.1	BAC89080.1	BAC89079.1					ExbD/TolR family protein			GCA_000011385.1_ASM1138v1	genomes/GCA_000011385.1_ASM1138v1/GCA_000011385.1_ASM1138v1_feature_table.txt
383	524	SEH96646.1	Akkermansia glycaniphila	NA	NA	NA	NA	NA	NA	NA	+	+	-	-	-	-	-	SEH96682.1	SEH96669.1	SEH96659.1	SEH96646.1	SEH96632.1	SEH96621.1	SEH96610.1	protein of unknown function (duf1311)	rna polymerase sigma factor region 2	sers: serine--trna ligase	mota/tolq/exbb proton channel family	Hypothetical protein	Hypothetical protein	rubredoxin-type fold	GCA_900097105.1_WK001	genomes/GCA_900097105.1_WK001/GCA_900097105.1_WK001_feature_table.txt
384	525	QJE97381.1	Luteolibacter luteus								+	+	+	+	+	+	+	QJE97378.1	QJE97379.1	QJE97380.1	QJE97381.1	QJE97382.1	QJE97383.1	QJE97384.1	glutamine--tRNA ligase/YqeY domain fusion protein	prolyl oligopeptidase family serine peptidase	hypothetical protein	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	hypothetical protein	hypothetical protein	GCA_012913485.1_ASM1291348v1	genomes/GCA_012913485.1_ASM1291348v1/GCA_012913485.1_ASM1291348v1_feature_table.txt
385	526	QSR84174.1	Methylacidimicrobium sp. B4		rsmI						+	-	-	-	-	-	-		QSR85840.1	QSR85841.1	QSR84174.1	QSR84173.1	QSR84172.1	QSR84171.1	tRNA-Leu	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	hypothetical protein	MotA/TolQ/ExbB proton channel family protein	biopolymer transporter ExbD	hypothetical protein	GuaB3 family IMP dehydrogenase-related protein	GCA_017310545.1_ASM1731054v1	genomes/GCA_017310545.1_ASM1731054v1/GCA_017310545.1_ASM1731054v1_feature_table.txt
386	527	ALJ56692.1	Candidatus Xiphinematobacter sp. Idaho Grape	ubiA	hisI						+	+	-	-	-	-	-	ALJ56695.1	ALJ56694.1	ALJ56693.1	ALJ56692.1	ALJ56691.1	ALJ56690.1	ALJ56689.1	4-hydroxybenzoate octaprenyltransferase	Phosphoribosyl-AMP cyclohydrolase	hypothetical protein	colicin uptake protein TolQ	hypothetical protein	hypothetical protein	putative oxidoreductase	GCA_001318295.1_ASM131829v1	genomes/GCA_001318295.1_ASM131829v1/GCA_001318295.1_ASM131829v1_feature_table.txt
387	529	AWI08418.1	Ereboglobus luteus	hisN							-	+	-	+	+	+	+	AWI10485.1	AWI08416.1	AWI08417.1	AWI08418.1	AWI08419.1	AWI08420.1	AWI08421.1	histidinol-phosphatase	hypothetical protein	ABC transporter ATP-binding protein	flagellar motor protein MotA	hypothetical protein	hypothetical protein	hypothetical protein	GCA_003096195.1_ASM309619v1	genomes/GCA_003096195.1_ASM309619v1/GCA_003096195.1_ASM309619v1_feature_table.txt
